Stratum,Search Terms,Term Type,minumum age (MYA),maximum age (MYA),supereon,eon_eonothem,era_erathem,system_period,series_epoch,stage_age,relative_sort_order
Lower Ordovician,"Lower Ordovician,Tremadocian,Floian",series_epoch,470,485.4,,Phanerozoic,Paleozoic,Ordovician,Lower Ordovician,,4
Dapingian,Dapingian,stage_age,467.3,470,,Phanerozoic,Paleozoic,Ordovician,Middle Ordovician,Dapingian,5
Darriwilian,Darriwilian,stage_age,458.4,467.3,,Phanerozoic,Paleozoic,Ordovician,Middle Ordovician,Darriwilian,5
Middle Ordovician,"Middle Ordovician,Dapingian,Darriwilian",series_epoch,458.4,470,,Phanerozoic,Paleozoic,Ordovician,Middle Ordovician,,4
Hirnantian,Hirnantian,stage_age,443.8,445.2,,Phanerozoic,Paleozoic,Ordovician,Upper Ordovician,Hirnantian,5
Katian,Katian,stage_age,445.2,453,,Phanerozoic,Paleozoic,Ordovician,Upper Ordovician,Katian,5
Sandbian,Sandbian,stage_age,453,458.4,,Phanerozoic,Paleozoic,Ordovician,Upper Ordovician,Sandbian,5
Upper Ordovician,"Upper Ordovician,Sandbian,Katian,Hirnantian",series_epoch,443.8,458.4,,Phanerozoic,Paleozoic,Ordovician,Upper Ordovician,,4
Ordovician,"Ordovician,Lower Ordovician,Middle Ordovician,Upper Ordovician,Tremadocian,Floian,Dapingian,Darriwilian,Sandbian,Katian,Hirnantian",system_period,443.8,485.4,,Phanerozoic,Paleozoic,Ordovician,,,3
Artinskian,Artinskian,stage_age,283.5,290.1,,Phanerozoic,Paleozoic,Permian,Cisuralian,Artinskian,5
Asselian,Asselian,stage_age,293.52,289.9,,Phanerozoic,Paleozoic,Permian,Cisuralian,Asselian,5
Kungurian,Kungurian,stage_age,273.01,283.5,,Phanerozoic,Paleozoic,Permian,Cisuralian,Kungurian,5
Sakmarian,Sakmarian,stage_age,290.1,293.52,,Phanerozoic,Paleozoic,Permian,Cisuralian,Sakmarian,5
Cisuralian,"Cisuralian,Kungurian,Artinskian,Sakmarian,Asselian",series_epoch,273.01,298.9,,Phanerozoic,Paleozoic,Permian,Cisuralian,,4
Capitanian,Capitanian,stage_age,259.51,264.28,,Phanerozoic,Paleozoic,Permian,Guadalupian,Capitanian,5
Roadian,Roadian,stage_age,266.9,273.01,,Phanerozoic,Paleozoic,Permian,Guadalupian,Roadian,5
Wordian,Wordian,stage_age,264.28,266.9,,Phanerozoic,Paleozoic,Permian,Guadalupian,Wordian,5
Guadalupian,"Guadalupian,Capitanian,Wordian,Roadian",series_epoch,259.51,273.01,,Phanerozoic,Paleozoic,Permian,Guadalupian,,4
Changhsingian,Changhsingian,stage_age,251.902,254.14,,Phanerozoic,Paleozoic,Permian,Lopingian,Changhsingian,5
Wuchiapingian,Wuchiapingian,stage_age,254.14,259.51,,Phanerozoic,Paleozoic,Permian,Lopingian,Wuchiapingian,5
Lopingian,"Lopingian,Changhsingian,Wuchiapingian",series_epoch,251.902,259.51,,Phanerozoic,Paleozoic,Permian,Lopingian,,4
Permian,"Permian,Lopingian,Changhsingian,Wuchiapingian,Guadalupian,Capitanian,Wordian,Roadian,Cisuralian,Kungurian,Artinskian,Sakmarian,Asselian",system_period,251.902,289.9,,Phanerozoic,Paleozoic,Permian,,,3
Aeronian,Aeronian,stage_age,438.5,440.8,,Phanerozoic,Paleozoic,Silurian,Llandovery,Aeronian,5
Rhuddanian,Rhuddanian,stage_age,440.8,443.8,,Phanerozoic,Paleozoic,Silurian,Llandovery,Rhuddanian,5
Telychian,Telychian,stage_age,433.4,438.5,,Phanerozoic,Paleozoic,Silurian,Llandovery,Telychian,5
Llandovery,"Llandovery,Rhuddanian,Aeronian,Telychian",series_epoch,433.4,443.8,,Phanerozoic,Paleozoic,Silurian,Llandovery,,4
Gorstian,Gorstian,stage_age,425.6,427.4,,Phanerozoic,Paleozoic,Silurian,Ludlow,Gorstian,5
Ludfordian,Ludfordian,stage_age,423,425.6,,Phanerozoic,Paleozoic,Silurian,Ludlow,Ludfordian,5
Ludlow,"Ludlow,Gorstian,Ludfordian",series_epoch,423,427.4,,Phanerozoic,Paleozoic,Silurian,Ludlow,,4
Pridoli,Pridoli,series_epoch,419.2,423,,Phanerozoic,Paleozoic,Silurian,Pridoli,,4
Homerian,Homerian,stage_age,427.4,430.5,,Phanerozoic,Paleozoic,Silurian,Wenlock,Homerian,5
Sheinwoodian,Sheinwoodian,stage_age,430.5,433.4,,Phanerozoic,Paleozoic,Silurian,Wenlock,Sheinwoodian,5
Wenlock,"Wenlock,Homerian,Sheinwoodian",series_epoch,427.4,433.4,,Phanerozoic,Paleozoic,Silurian,Wenlock,,4
Silurian,"Silurian,Llandovery,Wenlock,Ludlow,Pridoli,Rhuddanian,Aeronian,Telychian,Sheinwoodian,Homerian,Gorstian,Ludfordian",system_period,419.2,443.8,,Phanerozoic,Paleozoic,Silurian,,,3
Paleozoic,"Paleozoic,Carboniferous,Pennsylvanian,Mississippian,Lower Pennsylvanian,Bashkirian,Middle Pennsylvanian,Moscovian,Upper Pennsylvanian,Gzhelian,Kasimovian,Lower Mississippian,Tournaisian,Middle Mississippian,Visean,Upper Mississippian,Serpukhovian,Devonian,Silurian,Ordovician,Cambrian,Terreneuvian,Cambrian Series 2,Miaolingian,Furongian,Lower Ordovician,Middle Ordovician,Upper Ordovician,Llandovery,Wenlock,Ludlow,Pridoli,Lower Devonian,Middle Devonian,Upper Devonian,Fortunian,Cambrian Stage 2,Cambrian Stage 3,Cambrian Stage 4,Wuliuan,Drumian,Guzhangian,Paibian,Jiangshanian,Cambrian Stage 10,Tremadocian,Floian,Dapingian,Darriwilian,Sandbian,Katian,Hirnantian,Rhuddanian,Aeronian,Telychian,Sheinwoodian,Homerian,Gorstian,Ludfordian,Lochkovian,Pragian,Emsian,Eifelian,Givetian,Frasnian,Famennian,Permian,Lopingian,Changhsingian,Wuchiapingian,Guadalupian,Capitanian,Wordian,Roadian,Cisuralian,Kungurian,Artinskian,Sakmarian,Asselian",era_erathem,251.902,538.8,,Phanerozoic,Paleozoic,,,,2
Phanerozoic,"Phanerozoic,Paleozoic,Devonian,Silurian,Ordovician,Cambrian,Terreneuvian,Cambrian Series 2,Miaolingian,Furongian,Lower Ordovician,Middle Ordovician,Upper Ordovician,Llandovery,Wenlock,Ludlow,Pridoli,Lower Devonian,Middle Devonian,Upper Devonian,Fortunian,Cambrian Stage 2,Cambrian Stage 3,Cambrian Stage 4,Wuliuan,Drumian,Guzhangian,Paibian,Jiangshanian,Cambrian Stage 10,Tremadocian,Floian,Dapingian,Darriwilian,Sandbian,Katian,Hirnantian,Rhuddanian,Aeronian,Telychian,Sheinwoodian,Homerian,Gorstian,Ludfordian,Lochkovian,Pragian,Emsian,Eifelian,Givetian,Frasnian,Famennian,Permian,Lopingian,Changhsingian,Wuchiapingian,Guadalupian,Capitanian,Wordian,Roadian,Cisuralian,Kungurian,Artinskian,Sakmarian,Asselian,Carboniferous,Pennsylvanian,Mississippian,Lower Pennsylvanian,Bashkirian,Middle Pennsylvanian,Moscovian,Upper Pennsylvanian,Gzhelian,Kasimovian,Lower Mississippian,Tournaisian,Middle Mississippian,Visean,Upper Mississippian,Serpukhovian,Mesozoic,Triassic,Lower Triassic,Olenekian,Induan,Middle Triassic,Ladinian,Anisian,Upper Triassic,Rhaetian,Norian,Carnian,Jurassic,Lower Jurassic,Toarcian,Pliensbachian,Sinemurian,Hettangian,Middle Jurassic,Callovian,Bathonian,Bajocian,Aalenian,Upper Jurassic,Tithonian,Kimmeridgian,Oxfordian,Cretaceous,Lower Cretaceous,Albian,Aptian,Barremian,Hauterivian,Valanginian,Berriasian,Upper Cretaceous,Maastrichtian,Campanian,Santonian,Coniacian,Turonian,Cenomanian,Cenozoic,Paleogene,Oligocene,Chattian,Rupelian,Eocene,Priabonian,Bartonian,Lutetian,Ypresian,Paleocene,Thanetian,Selandian,Danian,Neogene,Pliocene,Piacenzian,Zanclean,Miocene,Messinian,Tortonian,Serravallian,Langhian,Burdigalian,Aquitanian,Quaternary,Holocene,Meghalayan,Northgrippian,Greenlandian,Pleistocene,Upper Pleistocene,Chibanian,Calabrian,Gelasian",eon_eonothem,0,538.8,,Phanerozoic,,,,,1
